file,version,version_len,dup_version
20260100000000_bootstrap_core_tables.sql,20260100000000,14,no
20260223000000_create_user_profiles.sql,20260223000000,14,no
20260223020000_update_existing_users.sql,20260223020000,14,no
20260223030000_create_user_properties.sql,20260223030000,14,no
20260223040000_rls_and_indexes.sql,20260223040000,14,no
20260223050000_user_properties.sql,20260223050000,14,no
20260225000000_fix_external_listing_id.sql,20260225000000,14,no
20260225010000_owners.sql,20260225010000,14,no
20260227010000_audit_logs.sql,20260227010000,14,no
20260227020000_rls_property_level.sql,20260227020000,14,no
20260227030000_organizations.sql,20260227030000,14,no
20260303010000_fix_expenses_org_isolation.sql,20260303010000,14,no
20260303020000_organization_id_not_null.sql,20260303020000,14,no
20260303030000_user_profiles_email_index.sql,20260303030000,14,no
20260303040000_guests_rls_role_check.sql,20260303040000,14,no
20260303050000_drop_legacy_permissive_policies.sql,20260303050000,14,no
20260303060000_organization_id_indexes.sql,20260303060000,14,no
20260303070000_get_my_profile_rpc.sql,20260303070000,14,no
20260309010000_email_parsing.sql,20260309010000,14,no
20260313010000_add_management_percentage.sql,20260313010000,14,no
20260315000000_create_guests_table.sql,20260315000000,14,no
20260315010000_ical_export_token.sql,20260315010000,14,no
20260315020000_guest_phone_country.sql,20260315020000,14,no
20260316000000_fix_user_profiles_rls.sql,20260316000000,14,no
20260318010000_add_subscription_plan.sql,20260318010000,14,no
20260320010000_property_slug.sql,20260320010000,14,no
20260320020000_property_base_price.sql,20260320020000,14,no
20260320030000_direct_bookings.sql,20260320030000,14,no
20260320040000_pricing_rules.sql,20260320040000,14,no
20260320050000_properties_insert_policy.sql,20260320050000,14,no
20260323010000_add_plan_to_organizations.sql,20260323010000,14,no
20260323020000_user_profile_trigger.sql,20260323020000,14,no
20260325015000_property_images_schema.sql,20260325015000,14,no
20260325016000_create_image_variants.sql,20260325016000,14,no
20260325020000_add_organization_id_to_tables.sql,20260325020000,14,no
20260325030000_add_storage_path_to_property_images.sql,20260325030000,14,no
20260326010000_auto_assign_manager_properties.sql,20260326010000,14,no
20260326020000_add_commission_tracking.sql,20260326020000,14,no
20260327010000_fix_commission_tracking.sql,20260327010000,14,no
20260327020000_roles_gestor_guest.sql,20260327020000,14,no
20260329010000_fix_null_organization_ids.sql,20260329010000,14,no
20260330010000_ensure_direct_platform.sql,20260330010000,14,no
20260330020000_fix_reservation_conflict_check.sql,20260330020000,14,no
20260401010000_add_password_reset_required.sql,20260401010000,14,no
20260402010000_add_min_nights_to_properties.sql,20260402010000,14,no
20260402020000_add_min_stay_trigger.sql,20260402020000,14,no
20260404010000_add_preferred_locale.sql,20260404010000,14,no
20260406010000_password_reset_tokens.sql,20260406010000,14,no
20260406020000_consent_records.sql,20260406020000,14,no
20260407010000_deletion_requests.sql,20260407010000,14,no
20260407170500_compliance_security_fixes.sql,20260407170500,14,no
20260407180000_setup_storage_trigger.sql,20260407180000,14,no
20260407224500_update_min_stay_trigger_bypass.sql,20260407224500,14,no
20260413_01_sync_to_platforms.sql,20260413,8,no
20260415_01_fix_sync_logs_fk.sql,20260415,8,no
20260417_01_fix_property_currency_by_country.sql,20260417,8,no
20260419_01_cleaning_checklists.sql,20260419,8,no
20260428_fix_rls_recursion.sql,20260428,8,no
20260429_01_multi_channel_schema.sql,20260429,8,no
20260501_01_compliance_org_isolation_complete.sql,20260501,8,no
20260503_01_reservation_guest_fields.sql,20260503,8,no
20260504_01_expense_documents.sql,20260504,8,no
20260506_01_property_amenities_rooms_fees.sql,20260506,8,no
20260510_01_property_reviews.sql,20260510,8,no
20260511_01_property_geo_coordinates.sql,20260511,8,no
20260512000001_staging_patch_epic18_schema.sql,20260512000001,14,no
20260512000002_fix_property_reviews_production.sql,20260512000002,14,no
20260516000000_calendar_blocks_org_rls.sql,20260516000000,14,no
20260516000001_google_feed_logs.sql,20260516000001,14,no
20260516000002_add_tier_to_properties.sql,20260516000002,14,no
20260516000003_stripe_foundation.sql,20260516000003,14,no
20260517000001_fix_google_feed_logs_insert_policy.sql,20260517000001,14,no
20260521000001_create_cleaning_schema.sql,20260521000001,14,no
20260522000000_organization_branding.sql,20260522000000,14,no
20260522010000_organization_templates.sql,20260522010000,14,no
20260522020000_organization_email_templates.sql,20260522020000,14,no
20260522185113_029_cleaner_portal_schema.sql,20260522185113,14,no
20260523000000_add_property_limit_validation.sql,20260523000000,14,no
20260525080000_align_organization_plan_values.sql,20260525080000,14,no
20260525090000_configure_owner_organization.sql,20260525090000,14,no
20260525091000_property_limits_with_paid_extras.sql,20260525091000,14,no
20260525092000_owner_organization_extra_property_allowance.sql,20260525092000,14,no
20260525100000_add_properties_deleted_at_for_limits.sql,20260525100000,14,no
20260526080000_google_feed_logs_organization_plan_policies.sql,20260526080000,14,no
20260526122000_organization_branding_user_profiles.sql,20260526122000,14,no
20260527060000_organization_public_profile.sql,20260527060000,14,no
20260603_create_analytics_tables.sql,20260603,8,no
20260605000000_create_google_merchant_sync_tables.sql,20260605000000,14,no
20260605000001_fix_google_merchant_sync_logs_schema.sql,20260605000001,14,no
20260611000000_property_amenities_public_policy.sql,20260611000000,14,no
20260613100000_fix_calendar_blocks_org_id.sql,20260613100000,14,no
20260615000000_create_whatsapp_tables.sql,20260615000000,14,no
20260615000001_create_whatsapp_templates.sql,20260615000001,14,no
20260615000002_add_checkin_fields.sql,20260615000002,14,no
20260615000003_add_reservation_notification_fields.sql,20260615000003,14,no
20260615000004_add_whatsapp_analytics.sql,20260615000004,14,no
20260617000000_create_task_history_audit_trail.sql,20260617000000,14,no
20260618000000_fix_cleaning_schema_mismatch.sql,20260618000000,14,no
20260618000001_add_organization_id_to_access_tokens.sql,20260618000001,14,no
20260619122951_add_cleaner_guest_type.sql,20260619122951,14,no
20260619133000_add_phone_to_user_profiles.sql,20260619133000,14,no
20260621000000_cleaning_templates_defaults.sql,20260621000000,14,no
20260624_add_cleaner_role.sql,20260624,8,no
20260702000001_fix_incorrectly_cancelled_reservations_july_august.sql,20260702000001,14,no
20260702000002_create_fix_cancelled_reservations_rpc.sql,20260702000002,14,no
20260702000003_create_safe_fix_function.sql,20260702000003,14,no
20260704000000_add_block_type_to_calendar_blocks.sql,20260704000000,14,no
20260709000000_update_external_ids_to_stable_format.sql,20260709000000,14,no
20260709000001_create_webhook_events_table.sql,20260709000001,14,no
20260710000000_add_platform_booking_ids.sql,20260710000000,14,no
20260717000000_google_performance_metrics.sql,20260717000000,14,no
20260717000001_google_validation_logs.sql,20260717000001,14,no
20260718084911_company_expenses.sql,20260718084911,14,no
20260719010000_email_ical_reconciliation_phase0.sql,20260719010000,14,no
20260721000002_pricing_schema_rollback.sql,20260721000002,14,no
20260721000003_seasonal_pricing_rules.sql,20260721000003,14,no
20260722000004_price_history_analytics.sql,20260722000004,14,no
20260722000005_create_pricing_recommendations.sql,20260722000005,14,no
20260722010000_extraction_corrections_phase6.sql,20260722010000,14,no
20260722010001_email_reconciliation_feature_flag.sql,20260722010001,14,no
20260722010002_revenue_forecasting.sql,20260722010002,14,no
20260722010003_competitor_monitoring.sql,20260722010003,14,no
20260722020000_dashboard_analytics_foundation.sql,20260722020000,14,no
20260723100000_add_reservation_guest_fields.sql,20260723100000,14,no
20260728000001_add_cancellation_policies_schema.sql,20260728000001,14,no
20260728100000_create_daily_prices_table.sql,20260728100000,14,no
20260728110000_remove_base_price_column.sql,20260728110000,14,no
20260729000001_add_review_fields.sql,20260729000001,14,no
20260729000002_add_cancellation_details_fields.sql,20260729000002,14,no
20260729162716_add_loyalty_score_column.sql,20260729162716,14,no
20260730000001_add_phone_to_email_extractions.sql,20260730000001,14,no
20260730000002_add_guest_phone_to_reservations.sql,20260730000002,14,no
20260731000001_populate_daily_prices_armacao.sql,20260731000001,14,no
20260731000002_remove_legacy_availability.sql,20260731000002,14,no
20260731000003_populate_property_discounts.sql,20260731000003,14,no
20260731000004_add_development_plan.sql,20260731000004,14,no
20260801000001_expand_property_availability.sql,20260801000001,14,no
20260801000002_add_requires_approval_to_reservations.sql,20260801000002,14,no
20260804_fix_daily_prices_rls_policy.sql,20260804,8,no
20260807104618_fix_validate_minimum_stay_deleted_column.sql,20260807104618,14,no
20260807_fix_rls_owner_id_bug_safe.sql,20260807,8,no
20260808_add_email_enrichment_fields.sql,20260808,8,yes
20260808_add_property_listings_error_tracking.sql,20260808,8,yes
20260809_fix_rls_all_tables_safe.sql,20260809,8,no
20260811000000_add_guest_breakdown_columns.sql,20260811000000,14,no
20260813162039_normalize_booking_reservation_currency_amounts.sql,20260813162039,14,no
20260813172546_harden_core_tenant_rls.sql,20260813172546,14,no
20260813172949_optimize_core_tenant_rls.sql,20260813172949,14,no
20260813174554_atomic_permanent_reservation_deletion.sql,20260813174554,14,no
20260813174721_normalize_reservation_audit_actions.sql,20260813174721,14,no
20260813175329_optimize_audit_logs_rls.sql,20260813175329,14,no
20260813180000_add_completed_status_to_reservations.sql,20260813180000,14,no
20260814190000_fix_organizations_table.sql,20260814190000,14,no
20260814190459_fix_property_limit_plan_contract.sql,20260814190459,14,no
20260814195031_atomic_tenant_onboarding.sql,20260814195031,14,no
20260814195948_harden_critical_tenant_rls.sql,20260814195948,14,no
20260814200102_harden_security_definer_grants.sql,20260814200102,14,no
20260815013000_restore_reservations_legacy_compatibility.sql,20260815013000,14,no
20260816000000_restore_property_discounts.sql,20260816000000,14,no
20260816000001_restore_property_availability_settings.sql,20260816000001,14,no
20260816081927_fix_property_availability_rls_owners.sql,20260816081927,14,no
20260816092129_cancellation_policy_periods.sql,20260816092129,14,no
20260816_create_property_fees.sql,20260816,8,no
20260824000001_email_unsubscribes.sql,20260824000001,14,no
20260824000002_organization_traffic_events.sql,20260824000002,14,no
20260826045002_add_booking_preferred_locale.sql,20260826045002,14,no
20260829000000_expand_calendar_events_audit.sql,20260829000000,14,no
20260908182739_phase1_property_payout_rules.sql,20260908182739,14,no
20260908183035_align_payout_rules_fk_index.sql,20260908183035,14,no
20260908203425_replace_property_payout_rule.sql,20260908203425,14,no
20260909050101_add_avatar_url_to_user_profiles.sql,20260909050101,14,no
20260909053449_harden_payout_rule_role_authorization.sql,20260909053449,14,no
20260909143733_financial_policy_v2_foundation.sql,20260909143733,14,no
20260909143857_index_financial_policy_v2_foreign_keys.sql,20260909143857,14,no
20260909144230_relax_payout_allocation_cardinality.sql,20260909144230,14,no
20260909175430_add_channel_fee_settlement_modes.sql,20260909175430,14,no
20260909181904_add_payout_allocation_components.sql,20260909181904,14,no
20260909185157_prevent_unversioned_v2_rule_closure.sql,20260909185157,14,no
20260909190211_harden_v2_rule_completeness_and_immutability.sql,20260909190211,14,no
20260909190820_consolidate_v2_rule_immutability_trigger.sql,20260909190820,14,no
20260909191226_freeze_v2_rules_until_transactional_rpc.sql,20260909191226,14,no
20260909201114_add_stay_prorata_recognition.sql,20260909201114,14,no
20260910043713_replace_property_payout_rule_v2.sql,20260910043713,14,no
20260910043917_fix_replace_payout_rule_v2_validation.sql,20260910043917,14,no
20260910045315_enforce_current_date_payout_rule_v2.sql,20260910045315,14,no
20260910050059_preserve_null_legacy_commission_timestamp.sql,20260910050059,14,no
20260910051353_harden_payout_rule_expected_version.sql,20260910051353,14,no
20260910055421_finalize_payout_rule_integrity.sql,20260910055421,14,no
20260910060359_harden_payout_rule_v2_null_role.sql,20260910060359,14,no
20260910061838_sync_legacy_external_reservation_ids.sql,20260910061838,14,no
20260910062315_canonicalize_legacy_external_reservation_ids.sql,20260910062315,14,no
20260910062711_prevent_null_legacy_external_id_propagation.sql,20260910062711,14,no
20260910130349_create_initial_property_payout_rule_v2.sql,20260910130349,14,no
20260911152321_story_47_4_financial_fact_inputs.sql,20260911152321,14,no
20260911152553_index_story_47_4_financial_parameters_foreign_keys.sql,20260911152553,14,no
20260911181000_replace_reservation_financial_snapshot.sql,20260911181000,14,no
20260911181500_persist_declared_owner_base_opt_in.sql,20260911181500,14,no
20260911183000_wrap_reservation_financial_snapshot_rpc.sql,20260911183000,14,no
20260911183500_expand_ical_financial_compatibility.sql,20260911183500,14,no
20260911184000_align_declared_snapshot_completeness.sql,20260911184000,14,no
20260911190000_prevent_reservation_overlap_and_scope_ical_blocks.sql,20260911190000,14,no
20260912070230_atomic_email_ical_reconciliation.sql,20260912070230,14,no
20260912072555_harden_email_ical_reconciliation_schema_compatibility.sql,20260912072555,14,no
20260912072728_allow_authoritative_channel_reservations_bypass_minimum_stay.sql,20260912072728,14,no
20260912072946_index_and_lock_down_email_ical_integrity.sql,20260912072946,14,no
20260912075222_complete_email_ical_fk_indexes_and_block_policy.sql,20260912075222,14,no
20260912080352_deduplicate_reservations_property_org_index.sql,20260912080352,14,no
20260912081722_restore_email_ical_feature_flag_contract.sql,20260912081722,14,no
20260912083856_harden_declared_financial_capture.sql,20260912083856,14,no
20260912084603_lock_declared_capture_contract_version.sql,20260912084603,14,no
20260912085432_return_financial_business_conflicts_without_retry.sql,20260912085432,14,no
20260914042205_fix_email_ical_service_role_claims.sql,20260914042205,14,no
20260915165857_validate_epic47_settlement_constraints.sql,20260915165857,14,no
20260918084205_sanitize_production_data.sql,20260918084205,14,no
20260919105605_fix_missing_handle_new_user_trigger.sql,20260919105605,14,no
20260919125720_fix_properties_cross_tenant_leak.sql,20260919125720,14,no
20260919125730_scope_admin_check_to_organization.sql,20260919125730,14,no
20260919131315_fix_calendar_user_properties_platforms_sync_logs_rls.sql,20260919131315,14,no
20260919132413_fix_property_reviews_images_rls.sql,20260919132413,14,no
20260923140000_ensure_handle_new_user_trigger.sql,20260923140000,14,no
